ds,y
10/10/2017,8
10/11/2017,16
10/12/2017,14
10/13/2017,12
10/14/2017,14
10/15/2017,15
10/16/2017,5
10/17/2017,12
10/18/2017,6
10/19/2017,13
10/20/2017,11
10/21/2017,12
10/22/2017,10
10/23/2017,19
10/24/2017,9
10/25/2017,15
10/26/2017,11
10/27/2017,11
10/28/2017,16
10/29/2017,22
10/30/2017,30
10/31/2017,20
11/1/2017,27
11/2/2017,24
11/3/2017,17
11/4/2017,32
11/5/2017,33
11/6/2017,35
11/7/2017,21
11/8/2017,29
11/9/2017,25
11/10/2017,23
11/11/2017,20
11/12/2017,45
11/13/2017,45
11/14/2017,42
11/15/2017,32
11/16/2017,29
11/17/2017,35
11/18/2017,33
11/19/2017,26
11/20/2017,45
11/21/2017,28
11/22/2017,37
11/23/2017,37
11/24/2017,39
11/25/2017,45
11/26/2017,55
11/27/2017,43
11/28/2017,38
11/29/2017,51
11/30/2017,36
12/1/2017,30
12/2/2017,33
12/3/2017,49
12/4/2017,44
12/5/2017,55
12/6/2017,44
12/7/2017,52
12/8/2017,50
12/9/2017,50
12/10/2017,59
12/11/2017,77
12/12/2017,72
12/13/2017,73
12/14/2017,96
12/15/2017,96
12/16/2017,112
12/17/2017,143
12/18/2017,164
12/19/2017,171
12/20/2017,147
12/21/2017,157
12/22/2017,158
12/23/2017,177
12/24/2017,200
12/25/2017,215
12/26/2017,267
12/27/2017,210
12/28/2017,243
12/29/2017,206
12/30/2017,250
12/31/2017,206
1/1/2018,253
1/2/2018,189
1/3/2018,251
1/4/2018,204
1/5/2018,188
1/6/2018,199
1/7/2018,240
1/8/2018,285
1/9/2018,299
1/10/2018,321
1/11/2018,314
1/12/2018,277
1/13/2018,308
1/14/2018,339
1/15/2018,283
1/16/2018,270
1/17/2018,286
1/18/2018,273
1/19/2018,299
1/20/2018,323
1/21/2018,397
1/22/2018,402
1/23/2018,415
1/24/2018,367
1/25/2018,367
1/26/2018,390
1/27/2018,409
1/28/2018,469
1/29/2018,390
1/30/2018,416
1/31/2018,350
2/1/2018,286
2/2/2018,372
2/3/2018,339
2/4/2018,383
2/5/2018,367
2/6/2018,330
2/7/2018,326
2/8/2018,289
2/9/2018,263
2/10/2018,287
2/11/2018,314
2/12/2018,294
2/13/2018,263
2/14/2018,218
2/15/2018,210
2/16/2018,194
2/17/2018,225
2/18/2018,237
2/19/2018,229
2/20/2018,185
2/21/2018,176
2/22/2018,150
2/23/2018,134
2/24/2018,108
2/25/2018,136
2/26/2018,140
2/27/2018,122
2/28/2018,107
3/1/2018,89
3/2/2018,90
3/3/2018,83
3/4/2018,109
3/5/2018,108
3/6/2018,96
3/7/2018,95
3/8/2018,84
3/9/2018,79
3/10/2018,93
3/11/2018,102
3/12/2018,91
3/13/2018,90
3/14/2018,88
3/15/2018,66
3/16/2018,69
3/17/2018,75
3/18/2018,79
3/19/2018,82
3/20/2018,105
3/21/2018,87
3/22/2018,80
3/23/2018,80
3/24/2018,64
3/25/2018,90
3/26/2018,90
3/27/2018,103
3/28/2018,75
3/29/2018,61
3/30/2018,77
3/31/2018,67
4/1/2018,77
4/2/2018,49
4/3/2018,51
4/4/2018,50
4/5/2018,44
4/6/2018,50
4/7/2018,62
4/8/2018,52
4/9/2018,46
4/10/2018,49
4/11/2018,31
4/12/2018,45
4/13/2018,40
4/14/2018,32
4/15/2018,35
4/16/2018,38
4/17/2018,28
4/18/2018,32
4/19/2018,35
4/20/2018,26
4/21/2018,25
4/22/2018,31
4/23/2018,40
4/24/2018,33
4/25/2018,24
4/26/2018,28
4/27/2018,19
4/28/2018,15
4/29/2018,25
4/30/2018,27
5/1/2018,26
5/2/2018,12
5/3/2018,19
5/4/2018,16
5/5/2018,20
5/6/2018,13
5/7/2018,15
5/8/2018,12
5/9/2018,12
5/10/2018,14
5/11/2018,11
5/12/2018,11
5/13/2018,14
5/14/2018,18
5/15/2018,8
5/16/2018,6
5/17/2018,9
5/18/2018,7
5/19/2018,5
5/20/2018,6
5/21/2018,5
5/22/2018,9
5/23/2018,6
5/24/2018,2
5/25/2018,8
5/26/2018,4
5/27/2018,1
5/28/2018,6
5/29/2018,7
5/30/2018,9
5/31/2018,3
6/1/2018,7
6/2/2018,12
6/3/2018,3
6/4/2018,11
6/5/2018,5
6/6/2018,11
6/7/2018,7
6/8/2018,5
6/9/2018,13
6/10/2018,8
6/11/2018,3
6/12/2018,6
6/13/2018,2
6/14/2018,5
6/15/2018,7
6/16/2018,12
6/17/2018,7
6/18/2018,2
6/19/2018,6
6/20/2018,6
6/21/2018,5
6/22/2018,4
6/23/2018,4
6/24/2018,4
6/25/2018,5
6/26/2018,9
6/27/2018,2
6/28/2018,3
6/29/2018,4
7/2/2018,4
7/3/2018,7
7/7/2018,3
7/8/2018,2
7/9/2018,2
7/10/2018,1
7/11/2018,8
7/12/2018,4
7/13/2018,8
7/14/2018,6
7/16/2018,2
7/17/2018,1
7/18/2018,5
7/20/2018,3
7/21/2018,1
7/22/2018,4
7/23/2018,8
7/24/2018,3
7/25/2018,8
7/28/2018,5
7/29/2018,2
7/30/2018,1
7/31/2018,2
8/1/2018,6
8/2/2018,3
8/3/2018,3
8/4/2018,1
8/5/2018,7
8/6/2018,2
8/7/2018,6
8/8/2018,1
8/9/2018,5
8/10/2018,5
8/11/2018,2
8/12/2018,2
8/13/2018,3
8/14/2018,1
8/15/2018,5
8/17/2018,4
8/18/2018,1
8/19/2018,1
