,ds,y
291,10/18/2010,143
292,10/19/2010,120
293,10/20/2010,114
294,10/21/2010,96
295,10/22/2010,87
296,10/23/2010,93
297,10/24/2010,99
298,10/25/2010,118
299,10/26/2010,103
300,10/27/2010,107
301,10/28/2010,96
302,10/29/2010,96
303,10/30/2010,100
304,10/31/2010,89
305,11/1/2010,128
306,11/2/2010,93
307,11/3/2010,90
308,11/4/2010,103
309,11/5/2010,118
310,11/6/2010,90
311,11/7/2010,113
312,11/8/2010,121
313,11/9/2010,115
314,11/10/2010,113
315,11/11/2010,110
316,11/12/2010,106
317,11/13/2010,98
318,11/14/2010,127
319,11/15/2010,107
320,11/16/2010,122
321,11/17/2010,117
322,11/18/2010,101
323,11/19/2010,102
324,11/20/2010,101
325,11/21/2010,96
326,11/22/2010,97
327,11/23/2010,101
328,11/24/2010,88
329,11/25/2010,99
330,11/26/2010,98
331,11/27/2010,95
332,11/28/2010,105
333,11/29/2010,124
334,11/30/2010,108
335,12/1/2010,122
336,12/2/2010,91
337,12/3/2010,89
338,12/4/2010,90
339,12/5/2010,111
340,12/6/2010,106
341,12/7/2010,77
342,12/8/2010,94
343,12/9/2010,113
344,12/10/2010,102
345,12/11/2010,94
346,12/12/2010,93
347,12/13/2010,119
348,12/14/2010,95
349,12/15/2010,104
350,12/16/2010,105
351,12/17/2010,108
352,12/18/2010,112
353,12/19/2010,105
354,12/20/2010,115
355,12/21/2010,107
356,12/22/2010,115
357,12/23/2010,115
358,12/24/2010,97
359,12/25/2010,119
360,12/26/2010,121
361,12/27/2010,117
362,12/28/2010,105
363,12/29/2010,117
364,12/30/2010,127
365,12/31/2010,125
366,1/1/2011,123
367,1/2/2011,112
368,1/3/2011,122
369,1/4/2011,118
370,1/5/2011,111
371,1/6/2011,109
372,1/7/2011,114
373,1/8/2011,106
374,1/9/2011,101
375,1/10/2011,123
376,1/11/2011,111
377,1/12/2011,94
378,1/13/2011,101
379,1/14/2011,103
380,1/15/2011,109
381,1/16/2011,101
382,1/17/2011,119
383,1/18/2011,116
384,1/19/2011,114
385,1/20/2011,102
386,1/21/2011,95
387,1/22/2011,115
388,1/23/2011,98
389,1/24/2011,112
390,1/25/2011,108
391,1/26/2011,110
392,1/27/2011,105
393,1/28/2011,87
394,1/29/2011,102
395,1/30/2011,93
396,1/31/2011,125
397,2/1/2011,117
398,2/2/2011,112
399,2/3/2011,126
400,2/4/2011,120
401,2/5/2011,90
402,2/6/2011,101
403,2/7/2011,126
404,2/8/2011,108
405,2/9/2011,113
406,2/10/2011,107
407,2/11/2011,99
408,2/12/2011,92
409,2/13/2011,91
410,2/14/2011,102
411,2/15/2011,100
412,2/16/2011,109
413,2/17/2011,108
414,2/18/2011,109
415,2/19/2011,112
416,2/20/2011,108
417,2/21/2011,122
418,2/22/2011,122
419,2/23/2011,121
420,2/24/2011,113
421,2/25/2011,107
422,2/26/2011,106
423,2/27/2011,112
424,2/28/2011,123
425,3/1/2011,123
426,3/2/2011,115
427,3/3/2011,96
428,3/4/2011,110
429,3/5/2011,122
430,3/6/2011,108
431,3/7/2011,137
432,3/8/2011,111
433,3/9/2011,95
434,3/10/2011,98
435,3/11/2011,124
436,3/12/2011,89
437,3/13/2011,107
438,3/14/2011,126
439,3/15/2011,122
440,3/16/2011,116
441,3/17/2011,119
442,3/18/2011,105
443,3/19/2011,113
444,3/20/2011,96
445,3/21/2011,133
446,3/22/2011,113
447,3/23/2011,110
448,3/24/2011,98
449,3/25/2011,109
450,3/26/2011,119
451,3/27/2011,111
452,3/28/2011,118
453,3/29/2011,111
454,3/30/2011,121
455,3/31/2011,106
456,4/1/2011,126
457,4/2/2011,123
458,4/3/2011,113
459,4/4/2011,128
460,4/5/2011,118
461,4/6/2011,124
462,4/7/2011,103
463,4/8/2011,116
464,4/9/2011,111
465,4/10/2011,109
466,4/11/2011,121
467,4/12/2011,121
468,4/13/2011,103
469,4/14/2011,107
470,4/15/2011,101
471,4/16/2011,110
472,4/17/2011,109
473,4/18/2011,116
474,4/19/2011,114
475,4/20/2011,99
476,4/21/2011,107
477,4/22/2011,113
478,4/23/2011,99
479,4/24/2011,100
480,4/25/2011,128
481,4/26/2011,125
482,4/27/2011,128
483,4/28/2011,103
484,4/29/2011,110
485,4/30/2011,84
486,5/1/2011,107
487,5/2/2011,121
488,5/3/2011,113
489,5/4/2011,119
490,5/5/2011,102
491,5/6/2011,103
492,5/7/2011,110
493,5/8/2011,91
494,5/9/2011,129
495,5/10/2011,126
496,5/11/2011,105
497,5/12/2011,102
498,5/13/2011,105
499,5/14/2011,110
500,5/15/2011,109
501,5/16/2011,121
502,5/17/2011,124
503,5/18/2011,101
504,5/19/2011,95
505,5/20/2011,100
506,5/21/2011,104
507,5/22/2011,118
508,5/23/2011,125
509,5/24/2011,124
510,5/25/2011,108
511,5/26/2011,102
512,5/27/2011,101
513,5/28/2011,116
514,5/29/2011,115
515,5/30/2011,107
516,5/31/2011,124
517,6/1/2011,117
518,6/2/2011,113
519,6/3/2011,97
520,6/4/2011,97
521,6/5/2011,97
522,6/6/2011,123
523,6/7/2011,117
524,6/8/2011,106
525,6/9/2011,99
526,6/10/2011,86
527,6/11/2011,109
528,6/12/2011,100
529,6/13/2011,138
530,6/14/2011,109
531,6/15/2011,97
532,6/16/2011,103
533,6/17/2011,102
534,6/18/2011,104
535,6/19/2011,93
536,6/20/2011,130
537,6/21/2011,102
538,6/22/2011,105
539,6/23/2011,105
540,6/24/2011,97
541,6/25/2011,102
542,6/26/2011,100
543,6/27/2011,104
544,6/28/2011,87
545,6/29/2011,101
546,6/30/2011,85
547,7/1/2011,101
548,7/2/2011,108
549,7/3/2011,104
550,7/4/2011,99
551,7/5/2011,115
552,7/6/2011,116
553,7/7/2011,96
554,7/8/2011,113
555,7/9/2011,96
556,7/10/2011,107
557,7/11/2011,114
558,7/12/2011,102
559,7/13/2011,103
560,7/14/2011,118
561,7/15/2011,84
562,7/16/2011,99
563,7/17/2011,104
564,7/18/2011,117
565,7/19/2011,110
566,7/20/2011,100
567,7/21/2011,88
568,7/22/2011,87
569,7/23/2011,97
570,7/24/2011,109
571,7/25/2011,114
572,7/26/2011,112
573,7/27/2011,115
574,7/28/2011,102
575,7/29/2011,104
576,7/30/2011,104
577,7/31/2011,105
578,8/1/2011,113
579,8/2/2011,107
580,8/3/2011,111
581,8/4/2011,110
582,8/5/2011,93
583,8/6/2011,90
584,8/7/2011,112
585,8/8/2011,115
586,8/9/2011,93
587,8/10/2011,107
588,8/11/2011,98
589,8/12/2011,128
590,8/13/2011,92
591,8/14/2011,89
592,8/15/2011,125
593,8/16/2011,107
594,8/17/2011,98
595,8/18/2011,94
596,8/19/2011,109
597,8/20/2011,106
598,8/21/2011,110
599,8/22/2011,100
600,8/23/2011,101
601,8/24/2011,82
602,8/25/2011,114
603,8/26/2011,113
604,8/27/2011,98
605,8/28/2011,98
606,8/29/2011,105
607,8/30/2011,118
608,8/31/2011,111
609,9/1/2011,104
610,9/2/2011,125
611,9/3/2011,108
612,9/4/2011,109
613,9/5/2011,125
614,9/6/2011,132
615,9/7/2011,119
616,9/8/2011,113
617,9/9/2011,112
618,9/10/2011,125
619,9/11/2011,114
620,9/12/2011,136
621,9/13/2011,112
622,9/14/2011,126
623,9/15/2011,111
624,9/16/2011,105
625,9/17/2011,103
626,9/18/2011,120
627,9/19/2011,108
628,9/20/2011,136
629,9/21/2011,111
630,9/22/2011,113
631,9/23/2011,112
632,9/24/2011,98
633,9/25/2011,98
634,9/26/2011,117
635,9/27/2011,125
636,9/28/2011,102
637,9/29/2011,115
638,9/30/2011,111
639,10/1/2011,123
640,10/2/2011,111
641,10/3/2011,119
642,10/4/2011,100
643,10/5/2011,103
644,10/6/2011,118
645,10/7/2011,105
